Date,Year,Month,MonthName,YearMonth,Quarter,YearQuarter,Day,MonthYearSort
2025-07-22,2025,7,Jul,2025-07,Q3,2025-Q3,22,202507
2025-07-23,2025,7,Jul,2025-07,Q3,2025-Q3,23,202507
2025-07-24,2025,7,Jul,2025-07,Q3,2025-Q3,24,202507
2025-07-25,2025,7,Jul,2025-07,Q3,2025-Q3,25,202507
2025-07-28,2025,7,Jul,2025-07,Q3,2025-Q3,28,202507
2025-07-29,2025,7,Jul,2025-07,Q3,2025-Q3,29,202507
2025-07-30,2025,7,Jul,2025-07,Q3,2025-Q3,30,202507
2025-07-31,2025,7,Jul,2025-07,Q3,2025-Q3,31,202507
2025-08-01,2025,8,Aug,2025-08,Q3,2025-Q3,1,202508
2025-08-04,2025,8,Aug,2025-08,Q3,2025-Q3,4,202508
2025-08-05,2025,8,Aug,2025-08,Q3,2025-Q3,5,202508
2025-08-06,2025,8,Aug,2025-08,Q3,2025-Q3,6,202508
2025-08-07,2025,8,Aug,2025-08,Q3,2025-Q3,7,202508
2025-08-08,2025,8,Aug,2025-08,Q3,2025-Q3,8,202508
2025-08-11,2025,8,Aug,2025-08,Q3,2025-Q3,11,202508
2025-08-12,2025,8,Aug,2025-08,Q3,2025-Q3,12,202508
2025-08-13,2025,8,Aug,2025-08,Q3,2025-Q3,13,202508
2025-08-14,2025,8,Aug,2025-08,Q3,2025-Q3,14,202508
2025-08-15,2025,8,Aug,2025-08,Q3,2025-Q3,15,202508
2025-08-18,2025,8,Aug,2025-08,Q3,2025-Q3,18,202508
2025-08-19,2025,8,Aug,2025-08,Q3,2025-Q3,19,202508
2025-08-20,2025,8,Aug,2025-08,Q3,2025-Q3,20,202508
2025-08-21,2025,8,Aug,2025-08,Q3,2025-Q3,21,202508
2025-08-22,2025,8,Aug,2025-08,Q3,2025-Q3,22,202508
2025-08-25,2025,8,Aug,2025-08,Q3,2025-Q3,25,202508
2025-08-26,2025,8,Aug,2025-08,Q3,2025-Q3,26,202508
2025-08-27,2025,8,Aug,2025-08,Q3,2025-Q3,27,202508
2025-08-28,2025,8,Aug,2025-08,Q3,2025-Q3,28,202508
2025-08-29,2025,8,Aug,2025-08,Q3,2025-Q3,29,202508
2025-09-01,2025,9,Sep,2025-09,Q3,2025-Q3,1,202509
2025-09-02,2025,9,Sep,2025-09,Q3,2025-Q3,2,202509
2025-09-03,2025,9,Sep,2025-09,Q3,2025-Q3,3,202509
2025-09-04,2025,9,Sep,2025-09,Q3,2025-Q3,4,202509
2025-09-05,2025,9,Sep,2025-09,Q3,2025-Q3,5,202509
2025-09-08,2025,9,Sep,2025-09,Q3,2025-Q3,8,202509
2025-09-09,2025,9,Sep,2025-09,Q3,2025-Q3,9,202509
2025-09-10,2025,9,Sep,2025-09,Q3,2025-Q3,10,202509
2025-09-11,2025,9,Sep,2025-09,Q3,2025-Q3,11,202509
2025-09-12,2025,9,Sep,2025-09,Q3,2025-Q3,12,202509
2025-09-15,2025,9,Sep,2025-09,Q3,2025-Q3,15,202509
2025-09-16,2025,9,Sep,2025-09,Q3,2025-Q3,16,202509
2025-09-17,2025,9,Sep,2025-09,Q3,2025-Q3,17,202509
2025-09-18,2025,9,Sep,2025-09,Q3,2025-Q3,18,202509
2025-09-19,2025,9,Sep,2025-09,Q3,2025-Q3,19,202509
2025-09-22,2025,9,Sep,2025-09,Q3,2025-Q3,22,202509
2025-09-23,2025,9,Sep,2025-09,Q3,2025-Q3,23,202509
2025-09-24,2025,9,Sep,2025-09,Q3,2025-Q3,24,202509
2025-09-25,2025,9,Sep,2025-09,Q3,2025-Q3,25,202509
2025-09-26,2025,9,Sep,2025-09,Q3,2025-Q3,26,202509
2025-09-29,2025,9,Sep,2025-09,Q3,2025-Q3,29,202509
2025-09-30,2025,9,Sep,2025-09,Q3,2025-Q3,30,202509
2025-10-01,2025,10,Oct,2025-10,Q4,2025-Q4,1,202510
2025-10-02,2025,10,Oct,2025-10,Q4,2025-Q4,2,202510
2025-10-03,2025,10,Oct,2025-10,Q4,2025-Q4,3,202510
2025-10-06,2025,10,Oct,2025-10,Q4,2025-Q4,6,202510
2025-10-07,2025,10,Oct,2025-10,Q4,2025-Q4,7,202510
2025-10-08,2025,10,Oct,2025-10,Q4,2025-Q4,8,202510
2025-10-09,2025,10,Oct,2025-10,Q4,2025-Q4,9,202510
2025-10-10,2025,10,Oct,2025-10,Q4,2025-Q4,10,202510
2025-10-13,2025,10,Oct,2025-10,Q4,2025-Q4,13,202510
2025-10-14,2025,10,Oct,2025-10,Q4,2025-Q4,14,202510
2025-10-15,2025,10,Oct,2025-10,Q4,2025-Q4,15,202510
2025-10-16,2025,10,Oct,2025-10,Q4,2025-Q4,16,202510
2025-10-17,2025,10,Oct,2025-10,Q4,2025-Q4,17,202510
2025-10-20,2025,10,Oct,2025-10,Q4,2025-Q4,20,202510
2025-10-21,2025,10,Oct,2025-10,Q4,2025-Q4,21,202510
2025-10-22,2025,10,Oct,2025-10,Q4,2025-Q4,22,202510
2025-10-23,2025,10,Oct,2025-10,Q4,2025-Q4,23,202510
2025-10-24,2025,10,Oct,2025-10,Q4,2025-Q4,24,202510
2025-10-27,2025,10,Oct,2025-10,Q4,2025-Q4,27,202510
2025-10-28,2025,10,Oct,2025-10,Q4,2025-Q4,28,202510
2025-10-29,2025,10,Oct,2025-10,Q4,2025-Q4,29,202510
2025-10-30,2025,10,Oct,2025-10,Q4,2025-Q4,30,202510
2025-10-31,2025,10,Oct,2025-10,Q4,2025-Q4,31,202510
2025-11-03,2025,11,Nov,2025-11,Q4,2025-Q4,3,202511
2025-11-04,2025,11,Nov,2025-11,Q4,2025-Q4,4,202511
2025-11-05,2025,11,Nov,2025-11,Q4,2025-Q4,5,202511
2025-11-06,2025,11,Nov,2025-11,Q4,2025-Q4,6,202511
2025-11-07,2025,11,Nov,2025-11,Q4,2025-Q4,7,202511
2025-11-10,2025,11,Nov,2025-11,Q4,2025-Q4,10,202511
2025-11-11,2025,11,Nov,2025-11,Q4,2025-Q4,11,202511
2025-11-12,2025,11,Nov,2025-11,Q4,2025-Q4,12,202511
2025-11-13,2025,11,Nov,2025-11,Q4,2025-Q4,13,202511
2025-11-14,2025,11,Nov,2025-11,Q4,2025-Q4,14,202511
2025-11-17,2025,11,Nov,2025-11,Q4,2025-Q4,17,202511
2025-11-18,2025,11,Nov,2025-11,Q4,2025-Q4,18,202511
2025-11-19,2025,11,Nov,2025-11,Q4,2025-Q4,19,202511
2025-11-20,2025,11,Nov,2025-11,Q4,2025-Q4,20,202511
2025-11-21,2025,11,Nov,2025-11,Q4,2025-Q4,21,202511
2025-11-24,2025,11,Nov,2025-11,Q4,2025-Q4,24,202511
2025-11-25,2025,11,Nov,2025-11,Q4,2025-Q4,25,202511
2025-11-26,2025,11,Nov,2025-11,Q4,2025-Q4,26,202511
2025-11-27,2025,11,Nov,2025-11,Q4,2025-Q4,27,202511
2025-11-28,2025,11,Nov,2025-11,Q4,2025-Q4,28,202511
2025-12-01,2025,12,Dec,2025-12,Q4,2025-Q4,1,202512
2025-12-02,2025,12,Dec,2025-12,Q4,2025-Q4,2,202512
2025-12-03,2025,12,Dec,2025-12,Q4,2025-Q4,3,202512
2025-12-04,2025,12,Dec,2025-12,Q4,2025-Q4,4,202512
2025-12-05,2025,12,Dec,2025-12,Q4,2025-Q4,5,202512
2025-12-08,2025,12,Dec,2025-12,Q4,2025-Q4,8,202512
2025-12-09,2025,12,Dec,2025-12,Q4,2025-Q4,9,202512
2025-12-10,2025,12,Dec,2025-12,Q4,2025-Q4,10,202512
2025-12-11,2025,12,Dec,2025-12,Q4,2025-Q4,11,202512
2025-12-12,2025,12,Dec,2025-12,Q4,2025-Q4,12,202512
2025-12-15,2025,12,Dec,2025-12,Q4,2025-Q4,15,202512
2025-12-16,2025,12,Dec,2025-12,Q4,2025-Q4,16,202512
2025-12-17,2025,12,Dec,2025-12,Q4,2025-Q4,17,202512
2025-12-18,2025,12,Dec,2025-12,Q4,2025-Q4,18,202512
2025-12-19,2025,12,Dec,2025-12,Q4,2025-Q4,19,202512
2025-12-22,2025,12,Dec,2025-12,Q4,2025-Q4,22,202512
2025-12-23,2025,12,Dec,2025-12,Q4,2025-Q4,23,202512
2025-12-29,2025,12,Dec,2025-12,Q4,2025-Q4,29,202512
2025-12-30,2025,12,Dec,2025-12,Q4,2025-Q4,30,202512
2026-01-02,2026,1,Jan,2026-01,Q1,2026-Q1,2,202601
2026-01-05,2026,1,Jan,2026-01,Q1,2026-Q1,5,202601
2026-01-06,2026,1,Jan,2026-01,Q1,2026-Q1,6,202601
2026-01-07,2026,1,Jan,2026-01,Q1,2026-Q1,7,202601
2026-01-08,2026,1,Jan,2026-01,Q1,2026-Q1,8,202601
2026-01-09,2026,1,Jan,2026-01,Q1,2026-Q1,9,202601
2026-01-12,2026,1,Jan,2026-01,Q1,2026-Q1,12,202601
2026-01-13,2026,1,Jan,2026-01,Q1,2026-Q1,13,202601
2026-01-14,2026,1,Jan,2026-01,Q1,2026-Q1,14,202601
2026-01-15,2026,1,Jan,2026-01,Q1,2026-Q1,15,202601
2026-01-16,2026,1,Jan,2026-01,Q1,2026-Q1,16,202601
2026-01-19,2026,1,Jan,2026-01,Q1,2026-Q1,19,202601
2026-01-20,2026,1,Jan,2026-01,Q1,2026-Q1,20,202601
2026-01-21,2026,1,Jan,2026-01,Q1,2026-Q1,21,202601
2026-01-22,2026,1,Jan,2026-01,Q1,2026-Q1,22,202601
2026-01-23,2026,1,Jan,2026-01,Q1,2026-Q1,23,202601
2026-01-26,2026,1,Jan,2026-01,Q1,2026-Q1,26,202601
2026-01-27,2026,1,Jan,2026-01,Q1,2026-Q1,27,202601
2026-01-28,2026,1,Jan,2026-01,Q1,2026-Q1,28,202601
2026-01-29,2026,1,Jan,2026-01,Q1,2026-Q1,29,202601
2026-01-30,2026,1,Jan,2026-01,Q1,2026-Q1,30,202601
2026-02-02,2026,2,Feb,2026-02,Q1,2026-Q1,2,202602
2026-02-03,2026,2,Feb,2026-02,Q1,2026-Q1,3,202602
2026-02-04,2026,2,Feb,2026-02,Q1,2026-Q1,4,202602
2026-02-05,2026,2,Feb,2026-02,Q1,2026-Q1,5,202602
2026-02-06,2026,2,Feb,2026-02,Q1,2026-Q1,6,202602
2026-02-09,2026,2,Feb,2026-02,Q1,2026-Q1,9,202602
2026-02-10,2026,2,Feb,2026-02,Q1,2026-Q1,10,202602
2026-02-11,2026,2,Feb,2026-02,Q1,2026-Q1,11,202602
2026-02-12,2026,2,Feb,2026-02,Q1,2026-Q1,12,202602
2026-02-13,2026,2,Feb,2026-02,Q1,2026-Q1,13,202602
2026-02-16,2026,2,Feb,2026-02,Q1,2026-Q1,16,202602
2026-02-17,2026,2,Feb,2026-02,Q1,2026-Q1,17,202602
2026-02-18,2026,2,Feb,2026-02,Q1,2026-Q1,18,202602
2026-02-19,2026,2,Feb,2026-02,Q1,2026-Q1,19,202602
2026-02-20,2026,2,Feb,2026-02,Q1,2026-Q1,20,202602
2026-02-23,2026,2,Feb,2026-02,Q1,2026-Q1,23,202602
2026-02-24,2026,2,Feb,2026-02,Q1,2026-Q1,24,202602
2026-02-25,2026,2,Feb,2026-02,Q1,2026-Q1,25,202602
2026-02-26,2026,2,Feb,2026-02,Q1,2026-Q1,26,202602
2026-02-27,2026,2,Feb,2026-02,Q1,2026-Q1,27,202602
2026-03-02,2026,3,Mar,2026-03,Q1,2026-Q1,2,202603
2026-03-03,2026,3,Mar,2026-03,Q1,2026-Q1,3,202603
2026-03-04,2026,3,Mar,2026-03,Q1,2026-Q1,4,202603
2026-03-05,2026,3,Mar,2026-03,Q1,2026-Q1,5,202603
2026-03-06,2026,3,Mar,2026-03,Q1,2026-Q1,6,202603
2026-03-09,2026,3,Mar,2026-03,Q1,2026-Q1,9,202603
2026-03-10,2026,3,Mar,2026-03,Q1,2026-Q1,10,202603
2026-03-11,2026,3,Mar,2026-03,Q1,2026-Q1,11,202603
2026-03-12,2026,3,Mar,2026-03,Q1,2026-Q1,12,202603
2026-03-13,2026,3,Mar,2026-03,Q1,2026-Q1,13,202603
2026-03-16,2026,3,Mar,2026-03,Q1,2026-Q1,16,202603
2026-03-17,2026,3,Mar,2026-03,Q1,2026-Q1,17,202603
2026-03-18,2026,3,Mar,2026-03,Q1,2026-Q1,18,202603
2026-03-19,2026,3,Mar,2026-03,Q1,2026-Q1,19,202603
2026-03-20,2026,3,Mar,2026-03,Q1,2026-Q1,20,202603
2026-03-23,2026,3,Mar,2026-03,Q1,2026-Q1,23,202603
2026-03-24,2026,3,Mar,2026-03,Q1,2026-Q1,24,202603
2026-03-25,2026,3,Mar,2026-03,Q1,2026-Q1,25,202603
2026-03-26,2026,3,Mar,2026-03,Q1,2026-Q1,26,202603
2026-03-27,2026,3,Mar,2026-03,Q1,2026-Q1,27,202603
2026-03-30,2026,3,Mar,2026-03,Q1,2026-Q1,30,202603
2026-03-31,2026,3,Mar,2026-03,Q1,2026-Q1,31,202603
2026-04-01,2026,4,Apr,2026-04,Q2,2026-Q2,1,202604
2026-04-02,2026,4,Apr,2026-04,Q2,2026-Q2,2,202604
2026-04-07,2026,4,Apr,2026-04,Q2,2026-Q2,7,202604
2026-04-08,2026,4,Apr,2026-04,Q2,2026-Q2,8,202604
2026-04-09,2026,4,Apr,2026-04,Q2,2026-Q2,9,202604
2026-04-10,2026,4,Apr,2026-04,Q2,2026-Q2,10,202604
2026-04-13,2026,4,Apr,2026-04,Q2,2026-Q2,13,202604
2026-04-14,2026,4,Apr,2026-04,Q2,2026-Q2,14,202604
2026-04-15,2026,4,Apr,2026-04,Q2,2026-Q2,15,202604
2026-04-16,2026,4,Apr,2026-04,Q2,2026-Q2,16,202604
2026-04-17,2026,4,Apr,2026-04,Q2,2026-Q2,17,202604
2026-04-20,2026,4,Apr,2026-04,Q2,2026-Q2,20,202604
2026-04-21,2026,4,Apr,2026-04,Q2,2026-Q2,21,202604
2026-04-22,2026,4,Apr,2026-04,Q2,2026-Q2,22,202604
2026-04-23,2026,4,Apr,2026-04,Q2,2026-Q2,23,202604
2026-04-24,2026,4,Apr,2026-04,Q2,2026-Q2,24,202604
2026-04-27,2026,4,Apr,2026-04,Q2,2026-Q2,27,202604
2026-04-28,2026,4,Apr,2026-04,Q2,2026-Q2,28,202604
2026-04-29,2026,4,Apr,2026-04,Q2,2026-Q2,29,202604
2026-04-30,2026,4,Apr,2026-04,Q2,2026-Q2,30,202604
2026-05-01,2026,5,May,2026-05,Q2,2026-Q2,1,202605
2026-05-04,2026,5,May,2026-05,Q2,2026-Q2,4,202605
2026-05-05,2026,5,May,2026-05,Q2,2026-Q2,5,202605
2026-05-06,2026,5,May,2026-05,Q2,2026-Q2,6,202605
2026-05-07,2026,5,May,2026-05,Q2,2026-Q2,7,202605
2026-05-08,2026,5,May,2026-05,Q2,2026-Q2,8,202605
2026-05-11,2026,5,May,2026-05,Q2,2026-Q2,11,202605
2026-05-12,2026,5,May,2026-05,Q2,2026-Q2,12,202605
2026-05-13,2026,5,May,2026-05,Q2,2026-Q2,13,202605
2026-05-15,2026,5,May,2026-05,Q2,2026-Q2,15,202605
2026-05-18,2026,5,May,2026-05,Q2,2026-Q2,18,202605
2026-05-19,2026,5,May,2026-05,Q2,2026-Q2,19,202605
2026-05-20,2026,5,May,2026-05,Q2,2026-Q2,20,202605
2026-05-21,2026,5,May,2026-05,Q2,2026-Q2,21,202605
2026-05-22,2026,5,May,2026-05,Q2,2026-Q2,22,202605
2026-05-25,2026,5,May,2026-05,Q2,2026-Q2,25,202605
2026-05-26,2026,5,May,2026-05,Q2,2026-Q2,26,202605
2026-05-27,2026,5,May,2026-05,Q2,2026-Q2,27,202605
2026-05-28,2026,5,May,2026-05,Q2,2026-Q2,28,202605
2026-05-29,2026,5,May,2026-05,Q2,2026-Q2,29,202605
2026-06-01,2026,6,Jun,2026-06,Q2,2026-Q2,1,202606
2026-06-02,2026,6,Jun,2026-06,Q2,2026-Q2,2,202606
2026-06-03,2026,6,Jun,2026-06,Q2,2026-Q2,3,202606
2026-06-04,2026,6,Jun,2026-06,Q2,2026-Q2,4,202606
2026-06-05,2026,6,Jun,2026-06,Q2,2026-Q2,5,202606
2026-06-08,2026,6,Jun,2026-06,Q2,2026-Q2,8,202606
2026-06-09,2026,6,Jun,2026-06,Q2,2026-Q2,9,202606
2026-06-10,2026,6,Jun,2026-06,Q2,2026-Q2,10,202606
2026-06-11,2026,6,Jun,2026-06,Q2,2026-Q2,11,202606
2026-06-12,2026,6,Jun,2026-06,Q2,2026-Q2,12,202606
2026-06-15,2026,6,Jun,2026-06,Q2,2026-Q2,15,202606
2026-06-16,2026,6,Jun,2026-06,Q2,2026-Q2,16,202606
2026-06-17,2026,6,Jun,2026-06,Q2,2026-Q2,17,202606
2026-06-18,2026,6,Jun,2026-06,Q2,2026-Q2,18,202606
2026-06-19,2026,6,Jun,2026-06,Q2,2026-Q2,19,202606
2026-06-22,2026,6,Jun,2026-06,Q2,2026-Q2,22,202606
2026-06-23,2026,6,Jun,2026-06,Q2,2026-Q2,23,202606
2026-06-24,2026,6,Jun,2026-06,Q2,2026-Q2,24,202606
2026-06-25,2026,6,Jun,2026-06,Q2,2026-Q2,25,202606
2026-06-26,2026,6,Jun,2026-06,Q2,2026-Q2,26,202606
2026-06-29,2026,6,Jun,2026-06,Q2,2026-Q2,29,202606
2026-06-30,2026,6,Jun,2026-06,Q2,2026-Q2,30,202606
2026-07-01,2026,7,Jul,2026-07,Q3,2026-Q3,1,202607
2026-07-02,2026,7,Jul,2026-07,Q3,2026-Q3,2,202607
2026-07-03,2026,7,Jul,2026-07,Q3,2026-Q3,3,202607
2026-07-06,2026,7,Jul,2026-07,Q3,2026-Q3,6,202607
2026-07-07,2026,7,Jul,2026-07,Q3,2026-Q3,7,202607
2026-07-08,2026,7,Jul,2026-07,Q3,2026-Q3,8,202607
2026-07-09,2026,7,Jul,2026-07,Q3,2026-Q3,9,202607
2026-07-10,2026,7,Jul,2026-07,Q3,2026-Q3,10,202607
2026-07-13,2026,7,Jul,2026-07,Q3,2026-Q3,13,202607
2026-07-14,2026,7,Jul,2026-07,Q3,2026-Q3,14,202607
2026-07-15,2026,7,Jul,2026-07,Q3,2026-Q3,15,202607
2026-07-16,2026,7,Jul,2026-07,Q3,2026-Q3,16,202607
2026-07-17,2026,7,Jul,2026-07,Q3,2026-Q3,17,202607
2026-07-20,2026,7,Jul,2026-07,Q3,2026-Q3,20,202607
2026-07-22,2026,7,Jul,2026-07,Q3,2026-Q3,22,202607