CutoffPD,CutoffScore,ApprovalRate,BadRateApproved,RejectRate,ApprovedN,MarginalPD,IsOperatingCutoff,IsYoudenCutoff,BudgetedBadRate
0.02,839,0.0,,1.0,0,0.02,0,0,0.04
0.025,836,0.0,,1.0,0,0.025,0,0,0.04
0.03,834,0.0,,1.0,0,0.03,0,0,0.04
0.035,831,0.0,,1.0,0,0.035,0,0,0.04
0.04,828,0.0252523602626506,0.0051746442432082,0.9747476397373492,1546,0.04,0,0,0.04
0.045,825,0.2505635229165986,0.0160365058670143,0.7494364770834014,15340,0.045,0,0,0.04
0.05,822,0.4243245891999608,0.0213642312726152,0.5756754108000393,25978,0.05,0,0,0.04
0.055,820,0.5371761784979255,0.0262413719706875,0.4628238215020744,32887,0.055,0,0,0.04
0.06,817,0.6134559472085198,0.0296615810634502,0.3865440527914802,37557,0.06,0,0,0.04
0.065,814,0.6694488909215641,0.0330120775893619,0.3305511090784359,40985,0.065,0,0,0.04
0.07,812,0.711231256737774,0.0368371494844177,0.288768743262226,43543,0.07,0,1,0.04
0.075,809,0.7439319198980758,0.0396750466571522,0.2560680801019241,45545,0.075,1,0,0.04
0.08,806,0.7704746659697495,0.0419758320966716,0.2295253340302505,47170,0.08,0,0,0.04
0.085,803,0.7929012446506158,0.0442906289269307,0.2070987553493841,48543,0.085,0,0,0.04
0.09,800,0.8104602920518768,0.0460518360272481,0.1895397079481232,49618,0.09,0,0,0.04
0.095,798,0.8256509098036654,0.0476576719158028,0.1743490901963346,50548,0.095,0,0,0.04
0.1,795,0.8387017738721375,0.0491362689154186,0.1612982261278625,51347,0.1,0,0,0.04
0.105,792,0.850184574172683,0.0505283381364073,0.149815425827317,52050,0.105,0,0,0.04
0.11,790,0.8603279866714579,0.0516223348711814,0.139672013328542,52671,0.11,0,0,0.04
0.115,787,0.8691973473587926,0.0527680685533882,0.1308026526412073,53214,0.115,0,0,0.04
0.12,784,0.8771683381790859,0.0538899854754012,0.1228316618209141,53702,0.12,0,0,0.04
0.125,781,0.884240959132338,0.0550106215941627,0.1157590408676619,54135,0.125,0,0,0.04
0.13,778,0.8907418901702002,0.0558560871398969,0.1092581098297997,54533,0.13,0,0,0.04
0.135,776,0.896050439384535,0.0565459914688833,0.103949560615465,54858,0.135,0,0,0.04
0.14,773,0.9012283166182092,0.0571273221567739,0.0987716833817908,55175,0.14,0,0,0.04
0.145,770,0.9059488419195714,0.0577311409202365,0.0940511580804286,55464,0.145,0,0,0.04
0.15,768,0.9100650093103786,0.0583315385167635,0.0899349906896214,55716,0.15,0,0,0.04
0.155,765,0.9141485087060208,0.0588928992602651,0.0858514912939792,55966,0.155,0,0,0.04
0.16,762,0.9181340041161674,0.0596868884540117,0.0818659958838325,56210,0.16,0,0,0.04
0.165,759,0.9219561595504884,0.0603429948267309,0.0780438404495116,56444,0.165,0,0,0.04
0.17,756,0.9254026330404104,0.0609301915100167,0.0745973669595897,56655,0.17,0,0,0.04
0.175,754,0.9283590866028552,0.061404743472447,0.0716409133971448,56836,0.175,0,0,0.04
0.18,751,0.931086864199144,0.062014279950178,0.0689131358008559,57003,0.18,0,0,0.04
0.185,748,0.9339126457809284,0.0624387855044074,0.0660873542190715,57176,0.185,0,0,0.04
0.19,746,0.9363464114207312,0.0627823811600523,0.0636535885792688,57325,0.19,0,0,0.04
0.195,743,0.938959851033942,0.0632686787857702,0.0610401489660579,57485,0.195,0,0,0.04
0.2,740,0.9409525987390154,0.0635860225319839,0.0590474012609846,57607,0.2,0,0,0.04
0.205,737,0.943043350429584,0.0641898328570191,0.0569566495704159,57735,0.205,0,0,0.04
0.21,734,0.9451177681225704,0.064619266530711,0.0548822318774296,57862,0.21,0,0,0.04
0.215,732,0.9472575218058868,0.06500784577449,0.0527424781941132,57993,0.215,0,0,0.04
0.22,729,0.949135931527882,0.0653438425001721,0.0508640684721178,58108,0.22,0,0,0.04
0.225,726,0.9509000032667996,0.0656864092345747,0.0490999967332005,58216,0.225,0,0,0.04
0.23,724,0.9525007350298912,0.0660733271598587,0.0474992649701088,58314,0.23,0,0,0.04
0.235,721,0.9538564568292444,0.0661849067589088,0.0461435431707556,58397,0.235,0,0,0.04
0.24,718,0.9553265166116756,0.0664934087916973,0.0446734833883244,58487,0.24,0,0,0.04
0.245,715,0.9566822384110288,0.0666040635137442,0.0433177615889712,58570,0.245,0,0,0.04
0.25,712,0.958037960210382,0.0668678498968509,0.0419620397896181,58653,0.25,0,0,0.04
0.255,710,0.9596060239783084,0.067235186981906,0.0403939760216915,58749,0.255,0,0,0.04
0.26,707,0.9608310737970012,0.0674724602203182,0.0391689262029989,58824,0.26,0,0,0.04
0.265,704,0.962007121622946,0.0677635153490899,0.037992878377054,58896,0.265,0,0,0.04
0.27,702,0.962954493482735,0.0679003969196322,0.037045506517265,58954,0.27,0,0,0.04
0.275,699,0.9641142073110972,0.0681406183820415,0.0358857926889026,59025,0.275,0,0,0.04
0.28,696,0.965224919146712,0.0683329666796405,0.034775080853288,59093,0.28,0,0,0.04
0.285,693,0.966319296984744,0.0684922244759973,0.0336807030152559,59160,0.285,0,0,0.04
0.29,690,0.9671033288687072,0.0686562626672071,0.0328966711312926,59208,0.29,0,0,0.04
0.295,688,0.9680507007284964,0.0688590422839402,0.0319492992715036,59266,0.295,0,0,0.04
0.3,685,0.9688837346052072,0.0690358581856803,0.0311162653947927,59317,0.3,0,0,0.04
0.305,682,0.9698637744601614,0.0693029287434528,0.0301362255398386,59377,0.305,0,0,0.04
0.31,680,0.9705824703537944,0.0694872183234883,0.0294175296462055,59421,0.31,0,0,0.04
0.315,677,0.97131750024501,0.0696364309016917,0.02868249975499,59466,0.315,0,0,0.04
0.32,674,0.9720035281434778,0.0697721314781205,0.0279964718565222,59508,0.32,0,0,0.04
0.325,671,0.9726242200516154,0.0699627178987673,0.0273757799483845,59546,0.325,0,0,0.04
0.33,668,0.9732285779621704,0.0701542386251111,0.0267714220378295,59583,0.33,0,0,0.04
0.335,666,0.9738329358727256,0.0703455216370345,0.0261670641272745,59620,0.335,0,0,0.04
0.34,663,0.9745842997615236,0.0705762075553916,0.0254157002384763,59666,0.34,0,0,0.04
0.345,660,0.9753356636503218,0.0707897909967845,0.0246643363496782,59712,0.345,0,0,0.04
0.35,658,0.9757930155826336,0.0709072648141948,0.0242069844173663,59740,0.35,0,0,0.04
0.355,655,0.9763973734931888,0.0710975793365341,0.0236026265068113,59777,0.355,0,0,0.04
0.36,652,0.977067067394074,0.0712494566852786,0.0229329326059259,59818,0.36,0,0,0.04
0.365,649,0.9776060893142988,0.0714440861472657,0.0223939106857011,59851,0.365,0,0,0.04
0.37,646,0.9781941132272712,0.0715848180740394,0.0218058867727287,59887,0.37,0,0,0.04
0.375,644,0.9787984711378264,0.0717241839663573,0.0212015288621737,59924,0.375,0,0,0.04
0.38,641,0.979566169024207,0.0720014673758983,0.0204338309757929,59971,0.38,0,0,0.04
0.385,638,0.9800398549541016,0.0721666666666666,0.0199601450458984,60000,0.385,0,0,0.04
0.39,636,0.980399202900918,0.0722901602745659,0.019600797099082,60022,0.39,0,0,0.04
0.395,633,0.9810688968018032,0.0724905515874997,0.0189311031981966,60063,0.395,0,0,0.04
0.4,630,0.9816732547123584,0.0726622296173045,0.0183267452876416,60100,0.4,0,0,0.04
