Sample,FprSort,FprLabel,FPR,TPR
Train,0,0%,0.0,0.00031302823514681025
Train,1,1%,0.01,0.18894384273461468
Train,2,2%,0.02,0.2713328742252551
Train,3,3%,0.03,0.3294935203155325
Train,4,4%,0.04,0.37769986852814125
Train,5,5%,0.05,0.4162023414511989
Train,6,6%,0.06,0.4554560821386089
Train,7,7%,0.07,0.48807362424090656
Train,8,8%,0.08,0.519626870343705
Train,9,9%,0.09,0.5466725098603894
Train,10,10%,0.1,0.5708382896137232
Train,11,11%,0.11,0.5946910411319101
Train,12,12%,0.12,0.6139109747699243
Train,13,13%,0.13,0.6328178801727916
Train,14,14%,0.14,0.6507230952231892
Train,15,15%,0.15,0.6660614787453828
Train,16,16%,0.16,0.6829650034433106
Train,17,17%,0.17,0.6993050773179741
Train,18,18%,0.18,0.7126400801352282
Train,19,19%,0.19,0.7262881111876291
Train,20,20%,0.2,0.7391848744756777
Train,21,21%,0.21,0.7509547361171978
Train,22,22%,0.22,0.7614098791711013
Train,23,23%,0.23,0.7732423464596506
Train,24,24%,0.24,0.7839479121016716
Train,25,25%,0.25,0.7940274212733989
Train,26,26%,0.26,0.8028548175045389
Train,27,27%,0.27,0.8128717210292369
Train,28,28%,0.28,0.8208226382019658
Train,29,29%,0.29,0.8276466537281663
Train,30,30%,0.3,0.8345958805484255
Train,31,31%,0.31,0.8419833468978902
Train,32,32%,0.32,0.8503098979527953
Train,33,33%,0.33,0.8565078570087021
Train,34,34%,0.34,0.8620797595943154
Train,35,35%,0.35000000000000003,0.8680272960621048
Train,36,36%,0.36,0.8729731421774244
Train,37,37%,0.37,0.8773555374694797
Train,38,38%,0.38,0.8821761722907406
Train,39,39%,0.39,0.8861829337006198
Train,40,40%,0.4,0.8908157515807926
Train,41,41%,0.41000000000000003,0.8948851186377011
Train,42,42%,0.42,0.8992675139297565
Train,43,43%,0.43,0.9034620922807237
Train,44,44%,0.44,0.9074688536906029
Train,45,45%,0.45,0.9122268828648344
Train,46,46%,0.46,0.9164214612158017
Train,47,47%,0.47000000000000003,0.9195517435672698
Train,48,48%,0.48,0.9236837162712077
Train,49,49%,0.49,0.9272522381518813
Train,50,50%,0.5,0.9313216052087898
Train,51,51%,0.51,0.9347649157954048
Train,52,52%,0.52,0.938270832029049
Train,53,53%,0.53,0.9413385087334878
Train,54,54%,0.54,0.9440931572027796
Train,55,55%,0.55,0.9470356226131597
Train,56,56%,0.56,0.9496650597883929
Train,57,57%,0.5700000000000001,0.9522318913165968
Train,58,58%,0.58,0.9547361171977712
Train,59,59%,0.59,0.9572403430789457
Train,60,60%,0.6,0.9592437237838853
Train,61,61%,0.61,0.9612471044888249
Train,62,62%,0.62,0.9632504851937644
Train,63,63%,0.63,0.9652538658987041
Train,64,64%,0.64,0.9670068240155262
Train,65,65%,0.65,0.9696362611907594
Train,66,66%,0.66,0.9717022475427284
Train,67,67%,0.67,0.9730169661303449
Train,68,68%,0.68,0.9740186564828147
Train,69,69%,0.6900000000000001,0.9757716145996369
Train,70,70%,0.7000000000000001,0.9768985162461654
Train,71,71%,0.71,0.9781506291867527
Train,72,72%,0.72,0.9789645025981344
Train,73,73%,0.73,0.9803418268327804
Train,74,74%,0.74,0.9819069680085144
Train,75,75%,0.75,0.9830338696550429
Train,76,76%,0.76,0.9844111938896889
Train,77,77%,0.77,0.9856007011832467
Train,78,78%,0.78,0.9867902084768047
Train,79,79%,0.79,0.9879171101233332
Train,80,80%,0.8,0.9886683778876855
Train,81,81%,0.81,0.9893570400050085
Train,82,82%,0.8200000000000001,0.990483941651537
Train,83,83%,0.8300000000000001,0.991360420709948
Train,84,84%,0.84,0.9919864771802417
Train,85,85%,0.85,0.9929881675327115
Train,86,86%,0.86,0.9933011957678582
Train,87,87%,0.87,0.9942402804732987
Train,88,88%,0.88,0.9950541538846804
Train,89,89%,0.89,0.9956176047079447
Train,90,90%,0.9,0.9962436611782383
Train,91,91%,0.91,0.996556689413385
Train,92,92%,0.92,0.9968697176485319
Train,93,93%,0.93,0.9974957741188255
Train,94,94%,0.9400000000000001,0.9979966192950604
Train,95,95%,0.9500000000000001,0.9985600701183247
Train,96,96%,0.96,0.9988730983534715
Train,97,97%,0.97,0.9991861265886183
Train,98,98%,0.98,0.9994991548237651
Train,99,99%,0.99,0.999812183058912
Train,100,100%,1.0,1.0
Test,0,0%,0.0,0.004007012271475081
Test,1,1%,0.01,0.1890808915602304
Test,2,2%,0.02,0.2734785875281743
Test,3,3%,0.03,0.3335837716003005
Test,4,4%,0.04,0.383671424993739
Test,5,5%,0.05,0.4254946155772602
Test,6,6%,0.06,0.46456298522414224
Test,7,7%,0.07,0.4923616328575006
Test,8,8%,0.08,0.520160280490859
Test,9,9%,0.09,0.5479589281242174
Test,10,10%,0.1,0.5712496869521663
Test,11,11%,0.11,0.5930378161783121
Test,12,12%,0.12,0.6160781367392938
Test,13,13%,0.13,0.6373653894315051
Test,14,14%,0.14,0.655396944653143
Test,15,15%,0.15,0.6751815677435512
Test,16,16%,0.16,0.691710493363386
Test,17,17%,0.17,0.7064863511144502
Test,18,18%,0.18,0.7202604557976459
Test,19,19%,0.19,0.7350363135487102
Test,20,20%,0.2,0.7468069120961683
Test,21,21%,0.21,0.7600801402454295
Test,22,22%,0.22,0.7705985474580516
Test,23,23%,0.23,0.7801152016028049
Test,24,24%,0.24,0.7881292261457551
Test,25,25%,0.25,0.7978963185574756
Test,26,26%,0.26,0.8054094665664914
Test,27,27%,0.27,0.8149261207112447
Test,28,28%,0.28,0.8221888304532933
Test,29,29%,0.29,0.830954169797145
Test,30,30%,0.3,0.836213373403456
Test,31,31%,0.31,0.8429752066115702
Test,32,32%,0.32,0.8484848484848485
Test,33,33%,0.33,0.8539944903581267
Test,34,34%,0.34,0.8585023791635362
Test,35,35%,0.35000000000000003,0.8642624593037816
Test,36,36%,0.36,0.8695216629100927
Test,37,37%,0.37,0.8760330578512396
Test,38,38%,0.38,0.8812922614575507
Test,39,39%,0.39,0.8865514650638617
Test,40,40%,0.4,0.8910593538692713
Test,41,41%,0.41000000000000003,0.8975707488104182
Test,42,42%,0.42,0.9028299524167293
Test,43,43%,0.43,0.9080891560230403
Test,44,44%,0.44,0.9118457300275482
Test,45,45%,0.45,0.9171049336338593
Test,46,46%,0.46,0.922113698973203
Test,47,47%,0.47000000000000003,0.9243676433759078
Test,48,48%,0.48,0.927122464312547
Test,49,49%,0.49,0.928374655647383
Test,50,50%,0.5,0.9321312296518908
Test,51,51%,0.51,0.9373904332582018
Test,52,52%,0.52,0.940145254194841
Test,53,53%,0.53,0.9434009516654145
Test,54,54%,0.54,0.945404457801152
Test,55,55%,0.55,0.9491610318056599
Test,56,56%,0.56,0.9519158527422991
Test,57,57%,0.5700000000000001,0.9539193588780366
Test,58,58%,0.58,0.9559228650137741
Test,59,59%,0.59,0.9579263711495116
Test,60,60%,0.6,0.9614325068870524
Test,61,61%,0.61,0.9616829451540195
Test,62,62%,0.62,0.9629351364888555
Test,63,63%,0.63,0.9646882043576258
Test,64,64%,0.64,0.967443025294265
Test,65,65%,0.65,0.9681943400951666
Test,66,66%,0.66,0.9694465314300025
Test,67,67%,0.67,0.9709491610318056
Test,68,68%,0.68,0.9729526671675433
Test,69,69%,0.6900000000000001,0.9734535437014776
Test,70,70%,0.7000000000000001,0.9752066115702479
Test,71,71%,0.71,0.9762083646381167
Test,72,72%,0.72,0.977961432506887
Test,73,73%,0.73,0.9789631855747558
Test,74,74%,0.74,0.9792136238417231
Test,75,75%,0.75,0.9809666917104933
Test,76,76%,0.76,0.981718006511395
Test,77,77%,0.77,0.9832206361131981
Test,78,78%,0.78,0.9847232657150012
Test,79,79%,0.79,0.986977210117706
Test,80,80%,0.8,0.9879789631855748
Test,81,81%,0.81,0.9882294014525419
Test,82,82%,0.8200000000000001,0.9897320310543452
Test,83,83%,0.8300000000000001,0.990984222389181
Test,84,84%,0.84,0.9917355371900827
Test,85,85%,0.85,0.9919859754570498
Test,86,86%,0.86,0.993488605058853
Test,87,87%,0.87,0.9939894815927873
Test,88,88%,0.88,0.9942399198597546
Test,89,89%,0.89,0.995992987728525
Test,90,90%,0.9,0.995992987728525
Test,91,91%,0.91,0.9964938642624593
Test,92,92%,0.92,0.9964938642624593
Test,93,93%,0.93,0.9969947407963937
Test,94,94%,0.9400000000000001,0.9974956173303281
Test,95,95%,0.9500000000000001,0.998747808665164
Test,96,96%,0.96,0.998747808665164
Test,97,97%,0.97,0.9989982469321312
Test,98,98%,0.98,0.9989982469321312
Test,99,99%,0.99,0.9997495617330328
Test,100,100%,1.0,1.0
OOT,0,0%,0.0,0.00041160732661041366
OOT,1,1%,0.01,0.09466968512039514
OOT,2,2%,0.02,0.15538176579543117
OOT,3,3%,0.03,0.19695410578308295
OOT,4,4%,0.04,0.2319407285449681
OOT,5,5%,0.05,0.26898538793990534
OOT,6,6%,0.06,0.3033545997118749
OOT,7,7%,0.07,0.3344309528709611
OOT,8,8%,0.08,0.35748096316114425
OOT,9,9%,0.09,0.3817657954311587
OOT,10,10%,0.1,0.40831446799753035
OOT,11,11%,0.11,0.4315702819510187
OOT,12,12%,0.12,0.4540028812512863
OOT,13,13%,0.13,0.4731426219386705
OOT,14,14%,0.14,0.4914591479728339
OOT,15,15%,0.15,0.5108046923235233
OOT,16,16%,0.16,0.5297386293476024
OOT,17,17%,0.17,0.5468203334019346
OOT,18,18%,0.18,0.5620498044865199
OOT,19,19%,0.19,0.5770734719078
OOT,20,20%,0.2,0.594978390615353
OOT,21,21%,0.21,0.6093846470467175
OOT,22,22%,0.22,0.6217328668450298
OOT,23,23%,0.23,0.637785552582836
OOT,24,24%,0.24,0.6509569870343692
OOT,25,25%,0.25,0.6614529738629348
OOT,26,26%,0.26,0.6740069973245524
OOT,27,27%,0.27,0.6869726281127804
OOT,28,28%,0.28,0.7001440625643136
OOT,29,29%,0.29,0.7135213006791521
OOT,30,30%,0.3,0.7246346984976333
OOT,31,31%,0.31,0.7334842560197572
OOT,32,32%,0.32,0.7427454208684915
OOT,33,33%,0.33,0.7526239967071414
OOT,34,34%,0.34,0.7612677505659601
OOT,35,35%,0.35000000000000003,0.7684708787816423
OOT,36,36%,0.36,0.7762914179872402
OOT,37,37%,0.37,0.7855525828359745
OOT,38,38%,0.38,0.7921383000617411
OOT,39,39%,0.39,0.7995472319407285
OOT,40,40%,0.4,0.8038691088701378
OOT,41,41%,0.41000000000000003,0.8110722370858201
OOT,42,42%,0.42,0.8170405433216711
OOT,43,43%,0.43,0.821979831240996
OOT,44,44%,0.44,0.8267133154970159
OOT,45,45%,0.45,0.832887425396172
OOT,46,46%,0.46,0.8372093023255814
OOT,47,47%,0.47000000000000003,0.8440008232146532
OOT,48,48%,0.48,0.8512039514303354
OOT,49,49%,0.49,0.856760650339576
OOT,50,50%,0.5,0.8610825272689854
OOT,51,51%,0.51,0.8660218151883103
OOT,52,52%,0.52,0.872607532414077
OOT,53,53%,0.53,0.8761061946902655
OOT,54,54%,0.54,0.8812512862728956
OOT,55,55%,0.55,0.8863963778555258
OOT,56,56%,0.56,0.8911298621115455
OOT,57,57%,0.5700000000000001,0.8956575427042601
OOT,58,58%,0.58,0.898538793990533
OOT,59,59%,0.59,0.9038896892364684
OOT,60,60%,0.6,0.907388351512657
OOT,61,61%,0.61,0.9106812101255403
OOT,62,62%,0.62,0.9145914797283392
OOT,63,63%,0.63,0.9178843383412225
OOT,64,64%,0.64,0.9209713932908006
OOT,65,65%,0.65,0.9238526445770735
OOT,66,66%,0.66,0.927351306853262
OOT,67,67%,0.67,0.9306441654661453
OOT,68,68%,0.68,0.9329080057625025
OOT,69,69%,0.6900000000000001,0.9347602387322494
OOT,70,70%,0.7000000000000001,0.9378472936818275
OOT,71,71%,0.71,0.9413459559580161
OOT,72,72%,0.72,0.9448446182342045
OOT,73,73%,0.73,0.9483432805103931
OOT,74,74%,0.74,0.952253550113192
OOT,75,75%,0.75,0.9555464087260753
OOT,76,76%,0.76,0.9594566783288743
OOT,77,77%,0.77,0.9621321259518419
OOT,78,78%,0.78,0.9656307882280305
OOT,79,79%,0.79,0.9681004321876929
OOT,80,80%,0.8,0.9709816834739659
OOT,81,81%,0.81,0.9732455237703231
OOT,82,82%,0.8200000000000001,0.9763325787199012
OOT,83,83%,0.8300000000000001,0.9794196336694793
OOT,84,84%,0.84,0.9806544556493105
OOT,85,85%,0.85,0.982095081292447
OOT,86,86%,0.86,0.9841531179254991
OOT,87,87%,0.87,0.9847705289154147
OOT,88,88%,0.88,0.9864169582218564
OOT,89,89%,0.89,0.9876517802016875
OOT,90,90%,0.9,0.9895040131714344
OOT,91,91%,0.91,0.9907388351512657
OOT,92,92%,0.92,0.991973657131097
OOT,93,93%,0.93,0.9925910681210125
OOT,94,94%,0.9400000000000001,0.994031693764149
OOT,95,95%,0.9500000000000001,0.995060712080675
OOT,96,96%,0.96,0.9969129450504219
OOT,97,97%,0.97,0.9981477670302531
OOT,98,98%,0.98,0.9983535706935583
OOT,99,99%,0.99,0.998970981683474
OOT,100,100%,1.0,1.0
Random,0,0%,0.0,0.0
Random,1,1%,0.01,0.01
Random,2,2%,0.02,0.02
Random,3,3%,0.03,0.03
Random,4,4%,0.04,0.04
Random,5,5%,0.05,0.05
Random,6,6%,0.06,0.06
Random,7,7%,0.07,0.07
Random,8,8%,0.08,0.08
Random,9,9%,0.09,0.09
Random,10,10%,0.1,0.1
Random,11,11%,0.11,0.11
Random,12,12%,0.12,0.12
Random,13,13%,0.13,0.13
Random,14,14%,0.14,0.14
Random,15,15%,0.15,0.15
Random,16,16%,0.16,0.16
Random,17,17%,0.17,0.17
Random,18,18%,0.18,0.18
Random,19,19%,0.19,0.19
Random,20,20%,0.2,0.2
Random,21,21%,0.21,0.21
Random,22,22%,0.22,0.22
Random,23,23%,0.23,0.23
Random,24,24%,0.24,0.24
Random,25,25%,0.25,0.25
Random,26,26%,0.26,0.26
Random,27,27%,0.27,0.27
Random,28,28%,0.28,0.28
Random,29,29%,0.29,0.29
Random,30,30%,0.3,0.3
Random,31,31%,0.31,0.31
Random,32,32%,0.32,0.32
Random,33,33%,0.33,0.33
Random,34,34%,0.34,0.34
Random,35,35%,0.35000000000000003,0.35000000000000003
Random,36,36%,0.36,0.36
Random,37,37%,0.37,0.37
Random,38,38%,0.38,0.38
Random,39,39%,0.39,0.39
Random,40,40%,0.4,0.4
Random,41,41%,0.41000000000000003,0.41000000000000003
Random,42,42%,0.42,0.42
Random,43,43%,0.43,0.43
Random,44,44%,0.44,0.44
Random,45,45%,0.45,0.45
Random,46,46%,0.46,0.46
Random,47,47%,0.47000000000000003,0.47000000000000003
Random,48,48%,0.48,0.48
Random,49,49%,0.49,0.49
Random,50,50%,0.5,0.5
Random,51,51%,0.51,0.51
Random,52,52%,0.52,0.52
Random,53,53%,0.53,0.53
Random,54,54%,0.54,0.54
Random,55,55%,0.55,0.55
Random,56,56%,0.56,0.56
Random,57,57%,0.5700000000000001,0.5700000000000001
Random,58,58%,0.58,0.58
Random,59,59%,0.59,0.59
Random,60,60%,0.6,0.6
Random,61,61%,0.61,0.61
Random,62,62%,0.62,0.62
Random,63,63%,0.63,0.63
Random,64,64%,0.64,0.64
Random,65,65%,0.65,0.65
Random,66,66%,0.66,0.66
Random,67,67%,0.67,0.67
Random,68,68%,0.68,0.68
Random,69,69%,0.6900000000000001,0.6900000000000001
Random,70,70%,0.7000000000000001,0.7000000000000001
Random,71,71%,0.71,0.71
Random,72,72%,0.72,0.72
Random,73,73%,0.73,0.73
Random,74,74%,0.74,0.74
Random,75,75%,0.75,0.75
Random,76,76%,0.76,0.76
Random,77,77%,0.77,0.77
Random,78,78%,0.78,0.78
Random,79,79%,0.79,0.79
Random,80,80%,0.8,0.8
Random,81,81%,0.81,0.81
Random,82,82%,0.8200000000000001,0.8200000000000001
Random,83,83%,0.8300000000000001,0.8300000000000001
Random,84,84%,0.84,0.84
Random,85,85%,0.85,0.85
Random,86,86%,0.86,0.86
Random,87,87%,0.87,0.87
Random,88,88%,0.88,0.88
Random,89,89%,0.89,0.89
Random,90,90%,0.9,0.9
Random,91,91%,0.91,0.91
Random,92,92%,0.92,0.92
Random,93,93%,0.93,0.93
Random,94,94%,0.9400000000000001,0.9400000000000001
Random,95,95%,0.9500000000000001,0.9500000000000001
Random,96,96%,0.96,0.96
Random,97,97%,0.97,0.97
Random,98,98%,0.98,0.98
Random,99,99%,0.99,0.99
Random,100,100%,1.0,1.0
Youden,0,25%,0.24605375073180968,0.7907093219808426
